keyword,times,percentage,,,,,
GPU-based ray-casting,11,,GPU-based ray-casting11,,,GPU-based ray-casting11,
Harmonic Color,11,,Harmonic Color11,,,Harmonic Color11,
Hierarchical topic visualization,11,,Hierarchical topic visualization11,,,Hierarchical topic visualization11,
high-dimensional embeddings,11,,high-dimensional embeddings11,,,high-dimensional embeddings11,
hue,11,,hue11,,,hue11,
huge dataset,11,,huge dataset11,,,huge dataset11,
Ideation,11,,Ideation11,,,Ideation11,
impact,11,,impact11,,,impact11,
indexing,11,,indexing11,,,indexing11,
joint distribution,11,,joint distribution11,,,joint distribution11,
Lattice Boltzmann Model,11,,Lattice Boltzmann Model11,,,Lattice Boltzmann Model11,
level set,11,,level set11,,,level set11,
lighting,11,,lighting11,,,lighting11,
line fields,11,,line fields11,,,line fields11,
line placement,11,,line placement11,,,line placement11,
Lo-fidelity prototyping,11,,Lo-fidelity prototyping11,,,Lo-fidelity prototyping11,
mosaic plot,11,,mosaic plot11,,,mosaic plot11,
Movement visualization,11,,Movement visualization11,,,Movement visualization11,
Multiscale Representation,11,,Multiscale Representation11,,,Multiscale Representation11,
multiwavelength data,11,,multiwavelength data11,,,multiwavelength data11,
nanotechnology simulation,11,,nanotechnology simulation11,,,nanotechnology simulation11,
Neighborhood Meta-Data,11,,Neighborhood Meta-Data11,,,Neighborhood Meta-Data11,
painting,11,,painting11,,,painting11,
phenomics,11,,phenomics11,,,phenomics11,
phenotype,11,,phenotype11,,,phenotype11,
plane disc tree,11,,plane disc tree11,,,plane disc tree11,
point-based,11,,point-based11,,,point-based11,
programming with example,11,,programming with example11,,,programming with example11,
Proofreading,11,,Proofreading11,,,Proofreading11,
qualitatvie user study,11,,qualitatvie user study11,,,qualitatvie user study11,
radial menu,11,,radial menu11,,,radial menu11,
rakes,11,,rakes11,,,rakes11,
Reformation,11,,Reformation11,,,Reformation11,
region selection,11,,region selection11,,,region selection11,
Residue Flow,11,,Residue Flow11,,,Residue Flow11,
rotation invariance,11,,rotation invariance11,,,rotation invariance11,
sea level indicators,11,,sea level indicators11,,,sea level indicators11,
Sketching for visualization,11,,Sketching for visualization11,,,Sketching for visualization11,
SOAR,11,,SOAR11,,,SOAR11,
social software,11,,social software11,,,social software11,
Sparsely sampling,11,,Sparsely sampling11,,,Sparsely sampling11,
Spatial Ability,11,,Spatial Ability11,,,Spatial Ability11,
Spatial Conditioning,11,,Spatial Conditioning11,,,Spatial Conditioning11,
Spatial temporal visual analytics,11,,Spatial temporal visual analytics11,,,Spatial temporal visual analytics11,
Spatio-Angular Fields,11,,Spatio-Angular Fields11,,,Spatio-Angular Fields11,
spectral clustering,11,,spectral clustering11,,,spectral clustering11,
Spherical Harmonics Fields,11,,Spherical Harmonics Fields11,,,Spherical Harmonics Fields11,
splatting method,11,,splatting method11,,,splatting method11,
Sport Analytics,11,,Sport Analytics11,,,Sport Analytics11,
spring models,11,,spring models11,,,spring models11,
Statistical data analysis,11,,Statistical data analysis11,,,Statistical data analysis11,
story-telling visualization,11,,story-telling visualization11,,,story-telling visualization11,
Storylines,11,,Storylines11,,,Storylines11,
tetrahedralization,11,,tetrahedralization11,,,tetrahedralization11,
Time navigation,11,,Time navigation11,,,Time navigation11,
time-critical graphics,11,,time-critical graphics11,,,time-critical graphics11,
Topological Data Analysis,11,,Topological Data Analysis11,,,Topological Data Analysis11,
triangle bintree,11,,triangle bintree11,,,triangle bintree11,
Trust Building,11,,Trust Building11,,,Trust Building11,
uncertainty glyphs,11,,uncertainty glyphs11,,,uncertainty glyphs11,
utility services,11,,utility services11,,,utility services11,
value,11,,value11,,,value11,
Variable Selection,11,,Variable Selection11,,,Variable Selection11,
verifiable visualization,11,,verifiable visualization11,,,verifiable visualization11,
view-dependent mesh,11,,view-dependent mesh11,,,view-dependent mesh11,
visual inspection,11,,visual inspection11,,,visual inspection11,
visualizing geographical data,11,,visualizing geographical data11,,,visualizing geographical data11,
visualizing spatially referenced data,11,,visualizing spatially referenced data11,,,visualizing spatially referenced data11,
Volume editing,11,,Volume editing11,,,Volume editing11,
Voronoi Treemaps,11,,Voronoi Treemaps11,,,Voronoi Treemaps11,
Vortex Dynamics,11,,Vortex Dynamics11,,,Vortex Dynamics11,
voxelization,11,,voxelization11,,,voxelization11,
3D,10,,3D10,,,3D10,
3D scalar fields,10,,3D scalar fields10,,,3D scalar fields10,
3D shape analysis,10,,3D shape analysis10,,,3D shape analysis10,
Analysis Process,10,,Analysis Process10,,,Analysis Process10,
atomic collision,10,,atomic collision10,,,atomic collision10,
automatic layout algorithms,10,,automatic layout algorithms10,,,automatic layout algorithms10,
Biology,10,,Biology10,,,Biology10,
Boolean query,10,,Boolean query10,,,Boolean query10,
carbon fiber reinforced polymers,10,,carbon fiber reinforced polymers10,,,carbon fiber reinforced polymers10,
Collaborative thinking space,10,,Collaborative thinking space10,,,Collaborative thinking space10,
Composite visualization,10,,Composite visualization10,,,Composite visualization10,
conditional entropy,10,,conditional entropy10,,,conditional entropy10,
conjunctive normal form,10,,conjunctive normal form10,,,conjunctive normal form10,
constraints,10,,constraints10,,,constraints10,
corpus visualization,10,,corpus visualization10,,,corpus visualization10,
correlative analysis,10,,correlative analysis10,,,correlative analysis10,
Critical event,10,,Critical event10,,,Critical event10,
Cultural heritage,10,,Cultural heritage10,,,Cultural heritage10,
curvature estimation,10,,curvature estimation10,,,curvature estimation10,
Decision Boundary Visualization,10,,Decision Boundary Visualization10,,,Decision Boundary Visualization10,
Density-based visualization,10,,Density-based visualization10,,,Density-based visualization10,
discrete ray tracing,10,,discrete ray tracing10,,,discrete ray tracing10,
distance fields,10,,distance fields10,,,distance fields10,
dynamic simulation,10,,dynamic simulation10,,,dynamic simulation10,
Empty Space Skipping,10,,Empty Space Skipping10,,,Empty Space Skipping10,
error ellipsoids,10,,error ellipsoids10,,,error ellipsoids10,
events,10,,events10,,,events10,
EWA filter,10,,EWA filter10,,,EWA filter10,
Externalization,10,,Externalization10,,,Externalization10,
eye-tracking study,10,,eye-tracking study10,,,eye-tracking study10,
Faceted browsing,10,,Faceted browsing10,,,Faceted browsing10,
fiber topology,10,,fiber topology10,,,fiber topology10,
filter construction,10,,filter construction10,,,filter construction10,
flow field,10,,flow field10,,,flow field10,
Fourier transform,10,,Fourier transform10,,,Fourier transform10,
Gabor filter,10,,Gabor filter10,,,Gabor filter10,
Gaussian Process Model,10,,Gaussian Process Model10,,,Gaussian Process Model10,
Geographic Visualization,10,,Geographic Visualization10,,,Geographic Visualization10,
geometry,10,,geometry10,,,geometry10,
graph splatting,10,,graph splatting10,,,graph splatting10,
graph-drawing aesthetics,10,,graph-drawing aesthetics10,,,graph-drawing aesthetics10,
haptics,10,,haptics10,,,haptics10,
Heat Map,10,,Heat Map10,,,Heat Map10,
Hierarchical Dirichlet process,10,,Hierarchical Dirichlet process10,,,Hierarchical Dirichlet process10,
hierarchy visualization,10,,hierarchy visualization10,,,hierarchy visualization10,
high performance computing,10,,high performance computing10,,,high performance computing10,
homeland security,10,,homeland security10,,,homeland security10,
human information interaction,10,,human information interaction10,,,human information interaction10,
hybrid rendering,10,,hybrid rendering10,,,hybrid rendering10,
hypothesis testing,10,,hypothesis testing10,,,hypothesis testing10,
illustrative parallel coordinates,10,,illustrative parallel coordinates10,,,illustrative parallel coordinates10,
image contrast,10,,image contrast10,,,image contrast10,
image enhancement,10,,image enhancement10,,,image enhancement10,
interactive large-scale visualization,10,,interactive large-scale visualization10,,,interactive large-scale visualization10,
interface design,10,,interface design10,,,interface design10,
Iso-values,10,,Iso-values10,,,Iso-values10,
jitter,10,,jitter10,,,jitter10,
layer perception,10,,layer perception10,,,layer perception10,
layered surfaces,10,,layered surfaces10,,,layered surfaces10,
Linked common work,10,,Linked common work10,,,Linked common work10,
listening history,10,,listening history10,,,listening history10,
live monitoring,10,,live monitoring10,,,live monitoring10,
locomotion,10,,locomotion10,,,locomotion10,
maps,10,,maps10,,,maps10,
mass spectrometry data,10,,mass spectrometry data10,,,mass spectrometry data10,
matrix factorization,10,,matrix factorization10,,,matrix factorization10,
Matrix visualization,10,,Matrix visualization10,,,Matrix visualization10,
Mechanical Turk,10,,Mechanical Turk10,,,Mechanical Turk10,
Mental model,10,,Mental model10,,,Mental model10,
mesh generation,10,,mesh generation10,,,mesh generation10,
mesh subdivision,10,,mesh subdivision10,,,mesh subdivision10,
meshing,10,,meshing10,,,meshing10,
Meta-Flow,10,,Meta-Flow10,,,Meta-Flow10,
Metaphor,10,,Metaphor10,,,Metaphor10,
microarray data,10,,microarray data10,,,microarray data10,
Microblog analysis,10,,Microblog analysis10,,,Microblog analysis10,
MObjects,10,,MObjects10,,,MObjects10,
model-based reasoning,10,,model-based reasoning10,,,model-based reasoning10,
Molecular Modeling,10,,Molecular Modeling10,,,Molecular Modeling10,
motion,10,,motion10,,,motion10,
moving least squares,10,,moving least squares10,,,moving least squares10,
multi-touch,10,,multi-touch10,,,multi-touch10,
Multivalued images,10,,Multivalued images10,,,Multivalued images10,
natural interaction,10,,natural interaction10,,,natural interaction10,
network exploration,10,,network exploration10,,,network exploration10,
neurobiology,10,,neurobiology10,,,neurobiology10,
neurovascular structures,10,,neurovascular structures10,,,neurovascular structures10,
Non-Destructive Testing,10,,Non-Destructive Testing10,,,Non-Destructive Testing10,
ordered treemaps,10,,ordered treemaps10,,,ordered treemaps10,
out-of-core rendering,10,,out-of-core rendering10,,,out-of-core rendering10,
Parameter exploration,10,,Parameter exploration10,,,Parameter exploration10,
Parameter Study,10,,Parameter Study10,,,Parameter Study10,
path lines,10,,path lines10,,,path lines10,
point processing,10,,point processing10,,,point processing10,
porosity,10,,porosity10,,,porosity10,
quadratic super splines,10,,quadratic super splines10,,,quadratic super splines10,
Quasi Interpolation,10,,Quasi Interpolation10,,,Quasi Interpolation10,
query construction,10,,query construction10,,,query construction10,
radial trees,10,,radial trees10,,,radial trees10,
ray differentials,10,,ray differentials10,,,ray differentials10,
real time rendering,10,,real time rendering10,,,real time rendering10,
realtime visualization,10,,realtime visualization10,,,realtime visualization10,
recall,10,,recall10,,,recall10,
recognition,10,,recognition10,,,recognition10,
Rectangular Area,10,,Rectangular Area10,,,Rectangular Area10,
revert,10,,revert10,,,revert10,
scalar and vector field visualization,10,,scalar and vector field visualization10,,,scalar and vector field visualization10,
separatrices,10,,separatrices10,,,separatrices10,
sequential processing,10,,sequential processing10,,,sequential processing10,
Singular fibers,10,,Singular fibers10,,,Singular fibers10,
social media monitoring,10,,social media monitoring10,,,social media monitoring10,
software engineering,10,,software engineering10,,,software engineering10,
software evolution,10,,software evolution10,,,software evolution10,
sparklines,10,,sparklines10,,,sparklines10,
spatial frequency,10,,spatial frequency10,,,spatial frequency10,
spatial selection,10,,spatial selection10,,,spatial selection10,
statistical modeling,10,,statistical modeling10,,,statistical modeling10,
stress majorization,10,,stress majorization10,,,stress majorization10,
Superconductor,10,,Superconductor10,,,Superconductor10,
supergraph clustering,10,,supergraph clustering10,,,supergraph clustering10,
Surface and curve extremality,10,,Surface and curve extremality10,,,Surface and curve extremality10,
surface representation,10,,surface representation10,,,surface representation10,
surface structures,10,,surface structures10,,,surface structures10,
tag cloud,10,,tag cloud10,,,tag cloud10,
temporal volume rendering,10,,temporal volume rendering10,,,temporal volume rendering10,
Topic evolution,10,,Topic evolution10,,,Topic evolution10,
transparency,10,,transparency10,,,transparency10,
trellis displays,10,,trellis displays10,,,trellis displays10,
user-generated layout,10,,user-generated layout10,,,user-generated layout10,
Visual History,10,,Visual History10,,,Visual History10,
Visual Text Analysis,10,,Visual Text Analysis10,,,Visual Text Analysis10,
Visualization of Control,10,,Visualization of Control10,,,Visualization of Control10,
volume sampling,10,,volume sampling10,,,volume sampling10,
wayfinding,10,,wayfinding10,,,wayfinding10,
wiki,10,,wiki10,,,wiki10,
3D-Textures Mapping,9,,3D-Textures Mapping9,,,3D-Textures Mapping9,
active learning,9,,active learning9,,,active learning9,
analog method,9,,analog method9,,,analog method9,
Animated LIC,9,,Animated LIC9,,,Animated LIC9,
area-preserving maps,9,,area-preserving maps9,,,area-preserving maps9,
bar charts,9,,bar charts9,,,bar charts9,
Bayesian Reasoning,9,,Bayesian Reasoning9,,,Bayesian Reasoning9,
blood damage,9,,blood damage9,,,blood damage9,
Camera motion planning,9,,Camera motion planning9,,,Camera motion planning9,
casual visualization,9,,casual visualization9,,,casual visualization9,
chaos,9,,chaos9,,,chaos9,
climate changes,9,,climate changes9,,,climate changes9,
climate model,9,,climate model9,,,climate model9,
Co-located work,9,,Co-located work9,,,Co-located work9,
computer-supported cooperative work,9,,computer-supported cooperative work9,,,computer-supported cooperative work9,
Contagion,9,,Contagion9,,,Contagion9,
critical infrastructure,9,,critical infrastructure9,,,critical infrastructure9,
curves,9,,curves9,,,curves9,
cut surface extraction,9,,cut surface extraction9,,,cut surface extraction9,
Cutting,9,,Cutting9,,,Cutting9,
dark matter,9,,dark matter9,,,dark matter9,
Data Abstraction,9,,Data Abstraction9,,,Data Abstraction9,
Data and Provenance Tracking,9,,Data and Provenance Tracking9,,,Data and Provenance Tracking9,
Data storytelling,9,,Data storytelling9,,,Data storytelling9,
Data stream,9,,Data stream9,,,Data stream9,
degradation,9,,degradation9,,,degradation9,
Delaunay,9,,Delaunay9,,,Delaunay9,
Design considerations,9,,Design considerations9,,,Design considerations9,
diagrams,9,,diagrams9,,,diagrams9,
Dichromacy,9,,Dichromacy9,,,Dichromacy9,
digital geometry processing,9,,digital geometry processing9,,,digital geometry processing9,
dimension order,9,,dimension order9,,,dimension order9,
dimensional stacking,9,,dimensional stacking9,,,dimensional stacking9,
distortion viewing,9,,distortion viewing9,,,distortion viewing9,
distributed algorithms,9,,distributed algorithms9,,,distributed algorithms9,
Distributed Rendering,9,,Distributed Rendering9,,,Distributed Rendering9,
dynamic view selection,9,,dynamic view selection9,,,dynamic view selection9,
Electronic health records,9,,Electronic health records9,,,Electronic health records9,
embedded coding,9,,embedded coding9,,,embedded coding9,
Epidemic Visualization,9,,Epidemic Visualization9,,,Epidemic Visualization9,
external sorting,9,,external sorting9,,,external sorting9,
fiber Clustering,9,,fiber Clustering9,,,fiber Clustering9,
fibers,9,,fibers9,,,fibers9,
floating-point arrays,9,,floating-point arrays9,,,floating-point arrays9,
Flow Diagrams,9,,Flow Diagrams9,,,Flow Diagrams9,
Fuzzy Logic,9,,Fuzzy Logic9,,,Fuzzy Logic9,
general relativity,9,,general relativity9,,,general relativity9,
genetic algorithm,9,,genetic algorithm9,,,genetic algorithm9,
geospatial,9,,geospatial9,,,geospatial9,
GPU resampling,9,,GPU resampling9,,,GPU resampling9,
GPU-based visualization,9,,GPU-based visualization9,,,GPU-based visualization9,
grids,9,,grids9,,,grids9,
grounded theory,9,,grounded theory9,,,grounded theory9,
halos,9,,halos9,,,halos9,
height fields,9,,height fields9,,,height fields9,
High-order finite elements,9,,High-order finite elements9,,,High-order finite elements9,
higher-order singularities,9,,higher-order singularities9,,,higher-order singularities9,
image based method,9,,image based method9,,,image based method9,
Image Classification,9,,Image Classification9,,,Image Classification9,
information entropy,9,,information entropy9,,,information entropy9,
Inhomogeneous data,9,,Inhomogeneous data9,,,Inhomogeneous data9,
interactive machine learning,9,,interactive machine learning9,,,interactive machine learning9,
Interval Tree,9,,Interval Tree9,,,Interval Tree9,
invariant manifolds,9,,invariant manifolds9,,,invariant manifolds9,
Inverse Steering,9,,Inverse Steering9,,,Inverse Steering9,
Landing gear,9,,Landing gear9,,,Landing gear9,
Layout algorithm,9,,Layout algorithm9,,,Layout algorithm9,
Level of Detail Algorithms,9,,Level of Detail Algorithms9,,,Level of Detail Algorithms9,
link analysis,9,,link analysis9,,,link analysis9,
magnetic resonance imaging,9,,magnetic resonance imaging9,,,magnetic resonance imaging9,
majority voting,9,,majority voting9,,,majority voting9,
Manifold,9,,Manifold9,,,Manifold9,
math visualization,9,,math visualization9,,,math visualization9,
medical,9,,medical9,,,medical9,
Medical Informatics,9,,Medical Informatics9,,,Medical Informatics9,
methodology design,9,,methodology design9,,,methodology design9,
Mobile and Ubiquitous Visualization,9,,Mobile and Ubiquitous Visualization9,,,Mobile and Ubiquitous Visualization9,
Mobility,9,,Mobility9,,,Mobility9,
model space visualization,9,,model space visualization9,,,model space visualization9,
Modeling and Simulation,9,,Modeling and Simulation9,,,Modeling and Simulation9,
mosaic plots,9,,mosaic plots9,,,mosaic plots9,
multi-focus,9,,multi-focus9,,,multi-focus9,
multi-scale interaction,9,,multi-scale interaction9,,,multi-scale interaction9,
multi-scale viewing,9,,multi-scale viewing9,,,multi-scale viewing9,
multipath CPR,9,,multipath CPR9,,,multipath CPR9,
multivariate linear model construction,9,,multivariate linear model construction9,,,multivariate linear model construction9,
Multivariate Projections,9,,Multivariate Projections9,,,Multivariate Projections9,
n-body simulations,9,,n-body simulations9,,,n-body simulations9,
narrative structure,9,,narrative structure9,,,narrative structure9,
nonnegative matrix factorization,9,,nonnegative matrix factorization9,,,nonnegative matrix factorization9,
note taking,9,,note taking9,,,note taking9,
novice users,9,,novice users9,,,novice users9,
NUI (Natural User Interface),9,,NUI (Natural User Interface)9,,,NUI (Natural User Interface)9,
OAC,9,,OAC9,,,OAC9,
observation-level interaction,9,,observation-level interaction9,,,observation-level interaction9,
observational study,9,,observational study9,,,observational study9,
Oil flow,9,,Oil flow9,,,Oil flow9,
orthogonal block transform,9,,orthogonal block transform9,,,orthogonal block transform9,
orthogonal layout,9,,orthogonal layout9,,,orthogonal layout9,
Out-Of-Core Computation,9,,Out-Of-Core Computation9,,,Out-Of-Core Computation9,
out-of-core visualization,9,,out-of-core visualization9,,,out-of-core visualization9,
parallel worlds,9,,parallel worlds9,,,parallel worlds9,
Parameter Sensitivity,9,,Parameter Sensitivity9,,,Parameter Sensitivity9,
particle data,9,,particle data9,,,particle data9,
Particle Image Velocimetry,9,,Particle Image Velocimetry9,,,Particle Image Velocimetry9,
particle tracing,9,,particle tracing9,,,particle tracing9,
Pattern matching,9,,Pattern matching9,,,Pattern matching9,
petascale volume analysis,9,,petascale volume analysis9,,,petascale volume analysis9,
Photogrammetry,9,,Photogrammetry9,,,Photogrammetry9,
physics-based graph layout,9,,physics-based graph layout9,,,physics-based graph layout9,
plaque growth,9,,plaque growth9,,,plaque growth9,
plasma physics,9,,plasma physics9,,,plasma physics9,
Poisson disk distribution,9,,Poisson disk distribution9,,,Poisson disk distribution9,
polyhedral grids,9,,polyhedral grids9,,,polyhedral grids9,
portfolio mining,9,,portfolio mining9,,,portfolio mining9,
post-WIMP,9,,post-WIMP9,,,post-WIMP9,
presence acceleration,9,,presence acceleration9,,,presence acceleration9,
projection template,9,,projection template9,,,projection template9,
proteins,9,,proteins9,,,proteins9,
Provenance data,9,,Provenance data9,,,Provenance data9,
public transportation,9,,public transportation9,,,public transportation9,
qualitative study,9,,qualitative study9,,,qualitative study9,
quantitative study,9,,quantitative study9,,,quantitative study9,
query algebra,9,,query algebra9,,,query algebra9,
radial layout,9,,radial layout9,,,radial layout9,
Random Projections,9,,Random Projections9,,,Random Projections9,
real symmetric tensors,9,,real symmetric tensors9,,,real symmetric tensors9,
recording,9,,recording9,,,recording9,
ridges and valleys,9,,ridges and valleys9,,,ridges and valleys9,
run-length encoding,9,,run-length encoding9,,,run-length encoding9,
scientific and information visualization,9,,scientific and information visualization9,,,scientific and information visualization9,
seed placement,9,,seed placement9,,,seed placement9,
semiotics,9,,semiotics9,,,semiotics9,
Sensemaking model,9,,Sensemaking model9,,,Sensemaking model9,
Shaders,9,,Shaders9,,,Shaders9,
shape matching,9,,shape matching9,,,shape matching9,
simulation steering,9,,simulation steering9,,,simulation steering9,
Spatial-Temporal Systems,9,,Spatial-Temporal Systems9,,,Spatial-Temporal Systems9,
spectral/hp elements,9,,spectral/hp elements9,,,spectral/hp elements9,
sports analytics,9,,sports analytics9,,,sports analytics9,
Static view selection,9,,Static view selection9,,,Static view selection9,
station-based observation data,9,,station-based observation data9,,,station-based observation data9,
stochastic tractography,9,,stochastic tractography9,,,stochastic tractography9,
Stopping Criteria,9,,Stopping Criteria9,,,Stopping Criteria9,
storyline visualization,9,,storyline visualization9,,,storyline visualization9,
stream tubes,9,,stream tubes9,,,stream tubes9,
structure-aware navigation,9,,structure-aware navigation9,,,structure-aware navigation9,
symmetry,9,,symmetry9,,,symmetry9,
tables & tree layouts,9,,tables & tree layouts9,,,tables & tree layouts9,
tabletop,9,,tabletop9,,,tabletop9,
template,9,,template9,,,template9,
texture perception,9,,texture perception9,,,texture perception9,
texture synthesis,9,,texture synthesis9,,,texture synthesis9,
time-based visualization,9,,time-based visualization9,,,time-based visualization9,
Topic coopetition,9,,Topic coopetition9,,,Topic coopetition9,
topological spine,9,,topological spine9,,,topological spine9,
user evaluation,9,,user evaluation9,,,user evaluation9,
variable ordering,9,,variable ordering9,,,variable ordering9,
variable speed animation,9,,variable speed animation9,,,variable speed animation9,
ventricular assist device,9,,ventricular assist device9,,,ventricular assist device9,
visual cues,9,,visual cues9,,,visual cues9,
visual structure,9,,visual structure9,,,visual structure9,
Visualization Interface,9,,Visualization Interface9,,,Visualization Interface9,
visualizing query results,9,,visualizing query results9,,,visualizing query results9,
Volume shading,9,,Volume shading9,,,Volume shading9,
vortex,9,,vortex9,,,vortex9,
wall paintings,9,,wall paintings9,,,wall paintings9,
White Matter Tracts,9,,White Matter Tracts9,,,White Matter Tracts9,
whiteboards,9,,whiteboards9,,,whiteboards9,
Wind tunnel,9,,Wind tunnel9,,,Wind tunnel9,
word-scale visualizations,9,,word-scale visualizations9,,,word-scale visualizations9,
zoomable treemaps,9,,zoomable treemaps9,,,zoomable treemaps9,
3D Maps,8,,3D Maps8,,,3D Maps8,
4D pc-mri,8,,4D pc-mri8,,,4D pc-mri8,
adaptive sampling,8,,adaptive sampling8,,,adaptive sampling8,
Adaptive Textures,8,,Adaptive Textures8,,,Adaptive Textures8,
alignment,8,,alignment8,,,alignment8,
amino acids,8,,amino acids8,,,amino acids8,
aneurysms,8,,aneurysms8,,,aneurysms8,
animal behavior,8,,animal behavior8,,,animal behavior8,
Applied Machine Learning,8,,Applied Machine Learning8,,,Applied Machine Learning8,
artificial intelligence,8,,artificial intelligence8,,,artificial intelligence8,
automated visualization,8,,automated visualization8,,,automated visualization8,
Backchannel,8,,Backchannel8,,,Backchannel8,
bibliographic data,8,,bibliographic data8,,,bibliographic data8,
biological networks,8,,biological networks8,,,biological networks8,
biomedical image processing,8,,biomedical image processing8,,,biomedical image processing8,
Breast Cancer,8,,Breast Cancer8,,,Breast Cancer8,
Business ecosystems,8,,Business ecosystems8,,,Business ecosystems8,
cardiac blood flow,8,,cardiac blood flow8,,,cardiac blood flow8,
Client-Server,8,,Client-Server8,,,Client-Server8,
coherent structures,8,,coherent structures8,,,coherent structures8,
collaborative learning,8,,collaborative learning8,,,collaborative learning8,
community detection,8,,community detection8,,,community detection8,
Compression Algorithms,8,,Compression Algorithms8,,,Compression Algorithms8,
connectedness,8,,connectedness8,,,connectedness8,
crease extraction,8,,crease extraction8,,,crease extraction8,
crowdsourced study,8,,crowdsourced study8,,,crowdsourced study8,
Curvature,8,,Curvature8,,,Curvature8,
curved planar reformation,8,,curved planar reformation8,,,curved planar reformation8,
Curves and Surfaces,8,,Curves and Surfaces8,,,Curves and Surfaces8,
dashboards,8,,dashboards8,,,dashboards8,
Data,8,,Data8,,,Data8,
Data cube,8,,Data cube8,,,Data cube8,
data depth,8,,data depth8,,,data depth8,
Demographic Analysis,8,,Demographic Analysis8,,,Demographic Analysis8,
dense pixel displays,8,,dense pixel displays8,,,dense pixel displays8,
Depth of Field,8,,Depth of Field8,,,Depth of Field8,
design reviews,8,,design reviews8,,,design reviews8,
display optimization,8,,display optimization8,,,display optimization8,
dissemination,8,,dissemination8,,,dissemination8,
diversity,8,,diversity8,,,diversity8,
Dot plots,8,,Dot plots8,,,Dot plots8,
economic decision-making,8,,economic decision-making8,,,economic decision-making8,
edge clustering,8,,edge clustering8,,,edge clustering8,
EDM,8,,EDM8,,,EDM8,
education,8,,education8,,,education8,
encoding,8,,encoding8,,,encoding8,
Ensemble,8,,Ensemble8,,,Ensemble8,
Ensemble analysis,8,,Ensemble analysis8,,,Ensemble analysis8,
enterprise,8,,enterprise8,,,enterprise8,
extensibility,8,,extensibility8,,,extensibility8,
field line advection,8,,field line advection8,,,field line advection8,
filtered shadows,8,,filtered shadows8,,,filtered shadows8,
fold recognition,8,,fold recognition8,,,fold recognition8,
four-dimensional visualization,8,,four-dimensional visualization8,,,four-dimensional visualization8,
functional data,8,,functional data8,,,functional data8,
generalization,8,,generalization8,,,generalization8,
genetic variants,8,,genetic variants8,,,genetic variants8,
geometric substitution,8,,geometric substitution8,,,geometric substitution8,
Gigapixel viewer,8,,Gigapixel viewer8,,,Gigapixel viewer8,
glyph generation,8,,glyph generation8,,,glyph generation8,
graph simplification,8,,graph simplification8,,,graph simplification8,
group action,8,,group action8,,,group action8,
hemodynamics,8,,hemodynamics8,,,hemodynamics8,
Hepatic Steatosis,8,,Hepatic Steatosis8,,,Hepatic Steatosis8,
higher dimensional isosurfacing,8,,higher dimensional isosurfacing8,,,higher dimensional isosurfacing8,
image analysis,8,,image analysis8,,,image analysis8,
image set comparison,8,,image set comparison8,,,image set comparison8,
image-based,8,,image-based8,,,image-based8,
in-cylinder flow,8,,in-cylinder flow8,,,in-cylinder flow8,
Informal science education,8,,Informal science education8,,,Informal science education8,
Information interfaces and presentation,8,,Information interfaces and presentation8,,,Information interfaces and presentation8,
Insight Management,8,,Insight Management8,,,Insight Management8,
intent discernment,8,,intent discernment8,,,intent discernment8,
interaction logs,8,,interaction logs8,,,interaction logs8,
interactive selection,8,,interactive selection8,,,interactive selection8,
Internet-based visualization,8,,Internet-based visualization8,,,Internet-based visualization8,
interpreted systems,8,,interpreted systems8,,,interpreted systems8,
Java,8,,Java8,,,Java8,
Join Tree,8,,Join Tree8,,,Join Tree8,
joint feature-temporal space,8,,joint feature-temporal space8,,,joint feature-temporal space8,
juxtaposition,8,,juxtaposition8,,,juxtaposition8,
kernel smoothing,8,,kernel smoothing8,,,kernel smoothing8,
landscape visualization,8,,landscape visualization8,,,landscape visualization8,
Large and High-resolution Displays,8,,Large and High-resolution Displays8,,,Large and High-resolution Displays8,
large scale visualization,8,,large scale visualization8,,,large scale visualization8,
large tree visualizations,8,,large tree visualizations8,,,large tree visualizations8,
Large-scale multivariate data visualization,8,,Large-scale multivariate data visualization8,,,Large-scale multivariate data visualization8,
Lattice,8,,Lattice8,,,Lattice8,
lazy evaluation,8,,lazy evaluation8,,,lazy evaluation8,
level of details,8,,level of details8,,,level of details8,
level-of-detail representation,8,,level-of-detail representation8,,,level-of-detail representation8,
lighting models,8,,lighting models8,,,lighting models8,
line predicates,8,,line predicates8,,,line predicates8,
literature browser,8,,literature browser8,,,literature browser8,
logarithmic scale,8,,logarithmic scale8,,,logarithmic scale8,
market research,8,,market research8,,,market research8,
Mesh compression,8,,Mesh compression8,,,Mesh compression8,
metaphors,8,,metaphors8,,,metaphors8,
model,8,,model8,,,model8,
Model fitting,8,,Model fitting8,,,Model fitting8,
Molecular Chemistry,8,,Molecular Chemistry8,,,Molecular Chemistry8,
Morse decomposition,8,,Morse decomposition8,,,Morse decomposition8,
motif detection,8,,motif detection8,,,motif detection8,
multi-modal rendering,8,,multi-modal rendering8,,,multi-modal rendering8,
multi-touch interaction,8,,multi-touch interaction8,,,multi-touch interaction8,
multiple attributes,8,,multiple attributes8,,,multiple attributes8,
Multitemporal Visualization,8,,Multitemporal Visualization8,,,Multitemporal Visualization8,
Node Grouping,8,,Node Grouping8,,,Node Grouping8,
ocean modeling,8,,ocean modeling8,,,ocean modeling8,
octrees,8,,octrees8,,,octrees8,
